Date,Security1,Security2,Security3,Security4,Security5,Security6,Security7,Security8,Security9,Security10
09/03/2000,13.34149,9.94654,68.02255,0.4902,5.80713,3.95492,3.73316,5.31876,10.43905,1.16394
10/03/2000,13.53493,10.05953,62.72632,0.48241,5.87749,3.79669,3.66242,5.29085,10.43838,1.15874
13/03/2000,13.16752,10.00419,60.98471,0.5009,5.66912,3.53625,3.59902,5.10648,10.14099,1.15874
14/03/2000,13.09553,10.15469,61.256,0.5009,5.74549,3.62829,3.54629,5.01561,10.11164,1.15874
15/03/2000,12.59939,10.29612,60.98452,0.5009,5.78343,3.58898,3.49504,4.96185,10.14125,1.15874
16/03/2000,12.93093,10.44429,61.63834,0.5009,5.78343,3.73554,3.47679,5.30355,10.23007,1.15874
17/03/2000,13.10912,10.73593,62.95095,0.5009,6.23013,3.51462,3.51997,5.62549,10.70548,1.15874
20/03/2000,13.35143,10.7335,61.08747,0.5009,5.879,3.44507,3.477,5.70358,10.52611,1.09396
21/03/2000,13.60881,10.53109,60.17459,0.5009,5.99555,3.46584,3.49176,5.64171,10.40743,1.06783
22/03/2000,13.61231,10.38745,60.1531,0.5009,6.18935,3.48816,3.55864,5.48762,10.64477,1.02526
23/03/2000,14.59132,10.29293,59.35309,0.5009,5.85447,3.52079,3.55452,5.5004,10.6756,1.05306
24/03/2000,14.78821,10.48988,61.58715,0.5009,5.94763,3.59801,3.51219,5.60246,10.94408,1.06401
27/03/2000,14.84695,10.26949,59.76593,0.5009,6.23485,3.55274,3.52124,5.61204,11.2409,1.0387
28/03/2000,14.74904,10.41575,60.66157,0.5009,6.29483,3.41734,3.42784,5.69222,11.06218,1.02324
29/03/2000,14.59016,10.22057,59.38915,0.50635,6.1197,3.31238,3.44689,5.62854,10.94183,0.97889
30/03/2000,13.63966,10.16363,58.63551,0.50311,5.88311,3.24147,3.64375,5.58827,10.85179,0.93153
31/03/2000,13.70626,10.02429,57.65952,0.50036,5.96396,3.21168,3.56378,5.55832,10.82206,0.92958
03/04/2000,14.33044,10.00648,61.41515,0.49547,5.9459,3.31438,3.58119,5.55538,10.40543,0.94003
04/04/2000,13.34127,10.25315,64.66393,0.49547,6.00183,3.65848,3.54363,5.82628,10.40543,0.95343
